Analysis,Notes,U_ppm,Th_ppm,Pb_ppm,Th/U,206Pb_cps,206Pb_204Pb,206Pb_204Pb_1s,208Pb_232Th,208Pb_232Th_2s,207Pb_235U,207Pb_235U_2s,206Pb_238U,206Pb_238U_2s,error_corr.,238U_206Pb,238U_206Pb_2s,207Pb_206Pb,207Pb_206Pb_2s,208Pb_232Th,208Pb_232Th_2s_(Ma),208Pb_232Th_2s-sys_(Ma),207Pb_206Pb,207Pb_206Pb_2s_(Ma),207Pb_206Pb_2s-sys_(Ma),207Pb_235U,207Pb_235U_2s_(Ma),207Pb_235U_2s-sys_(Ma),206Pb_238U,206Pb_238U_2s_(Ma),206Pb_238U_2s-sys_(Ma),7/6 disc._(%),7/5 disc._(%),(%),238U*,(Ma),238U*,(Ma),P,Ti,Y,Zr,Nb,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Th,U,Ti-in-zircon_T(°C),Ce/Ce*,Eu/Eu*,?REE,(Gd/Yb)cn,Lu/Hf,Nb/Ta,Nb/U,Nb/Th,Th/U,Th/Y,Hf/Y,Nb/Yb,U/Yb,Experiment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238U*,(Ma),disc.,238U*,(Ma),disc.,238U*,(Ma),disc.,,206 cps,,,,,238 cps,,,,,206 cps,238 cps,%dev,(Pb),(U),,,,,,,,,,,,,,,,,,,,
MT24-1_M_54,sweeps 23-41,675,227,1.06,0.336,2021,144,3.79,0.00062,9.927752151,0.01164,9.6,0.00128,3.6,0.369244909,782.99,3.6,0.06609,8.9,12.5,1.25,1.27,809,187,187,11.7,1.12,1.14,8.23,0.292,0.328,99.0,30.0,0.2,11.8,0.291,7.99,864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_54,8,0.3,99,8,0.3,99,8,0.3,99,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021,1558691,0.00,0.85,-0.40,,,,,,,,,,,,,,,,,,,,
MT24-1_M_72,sweeps 23-41,894,361,1.37,0.404,2658,159,5.68,0.00046,7.933896901,0.00863,9.5,0.00129,3.1,0.326826079,777.94,3.1,0.04867,9.0,9.34,0.741,0.764,132,211,211,8.72,0.823,0.838,8.28,0.256,0.297,93.7,5.1,10.0,8.73,0.260,8.21,949,624,2.70,1733,509584,5.40,10.0,51.9,3.99,20.1,8.40,0.145,33.2,11.9,164,65.0,304,69.1,650,108,13090,3.16,361,894,676,2.02,0.03,1500.73,0.04,0.01,1.71,0.01,0.01,0.40,0.21,7.55,0.008302151,1.374540789,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_72,8,0.3,94,8,0.3,94,8,0.3,94,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2658,2045661,0.00,0.84,-1.00,,,,,,,,,,,,,,,,,,,,
MT24-1_M_27,sweeps 23-41,993,438,1.54,0.441,2812,169,3.41,0.00045,12.50180881,0.00787,8.3,0.00130,4.5,0.537766529,768.50,4.5,0.04384,7.0,9.03,1.13,1.14,-120,172,173,7.96,0.657,0.673,8.38,0.374,0.403,107.0,-5.4,10.1,7.95,0.376,8.34,1064,398,3.95,2353,494873,6.37,,26.2,0.106,2.16,5.78,0.162,42.1,16.9,231,93.9,423,92.9,840,145,11438,3.41,438,993,708,242.02,0.03,1919.98,0.04,0.01,1.87,0.01,0.01,0.44,0.19,4.86,0.007586564,1.18209163,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_27,8,0.4,107,8,0.4,107,8,0.4,107,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2812,2163810,0.00,0.84,-1.15,,,,,,,,,,,,,,,,,,,,
MT24-1_M_36,sweeps 23-41,927,374,1.44,0.403,2626,127,4.26,0.00047,11.68098872,0.00874,12.0,0.00130,5.9,0.494872303,766.89,5.9,0.04863,10.4,9.40,1.10,1.11,130,246,246,8.84,1.06,1.07,8.40,0.499,0.522,93.5,5.0,12.2,8.85,0.501,8.33,1025,730,3.42,2042,510377,6.48,11.4,49.3,4.26,22.6,8.39,0.230,36.9,13.9,183,74.0,349,79.2,751,129,12225,3.13,374,927,696,1.73,0.04,1711.60,0.04,0.01,2.07,0.01,0.02,0.40,0.18,5.99,0.008622827,1.233710126,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_36,8,0.5,94,8,0.5,94,8,0.5,93,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2626,2030759,0.00,0.84,-0.98,,,,,,,,,,,,,,,,,,,,
MT24-1_M_62,sweeps 23-41,934,369,1.41,0.395,2724,141,5.66,0.00034,15.08111206,0.00948,11.9,0.00131,4.2,0.352079079,765.68,4.2,0.05262,11.1,6.79,1.02,1.03,312,253,253,9.58,1.13,1.15,8.41,0.352,0.384,97.3,12.1,2.2,9.60,0.354,8.52,982,332,2.62,1770,480432,5.55,,25.7,0.07,1.37,4.37,0.05,31.0,12.6,168,67.2,318,73.0,668,110,12477,3.59,369,934,674,360.60,0.01,1479.45,0.04,0.01,1.55,0.01,0.02,0.39,0.21,7.05,0.008312305,1.399167481,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_62,8,0.4,97,8,0.4,97,9,0.4,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2724,2077094,0.00,0.84,-1.04,,,,,,,,,,,,,,,,,,,,
MT24-1_M_44,sweeps 23-41,705,256,1.08,0.363,2074,103,4.72,0.00043,9.985931489,0.00978,8.9,0.00131,3.7,0.420242966,763.65,3.7,0.05416,8.1,8.73,0.872,0.889,378,182,182,9.88,0.877,0.895,8.44,0.316,0.351,97.8,14.6,1.1,9.91,0.316,8.42,176,566,3.42,2068,487820,2.53,0.01,9.54,0.07,1.52,4.71,0.249,33.3,14.3,190,76.9,359,83.4,768,134,10366,1.40,256,705,696,112.41,0.06,1674.46,0.04,0.01,1.80,0.00,0.01,0.36,0.12,5.01,0.003294989,0.918229114,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_44,8,0.4,98,8,0.4,98,8,0.4,98,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2074,1577627,0.00,0.85,-0.43,,,,,,,,,,,,,,,,,,,,
MT24-1_M_67,sweeps 23-41,1219,642,1.97,0.527,3840,624,15.3,0.00044,10.04661238,0.00952,5.4,0.00131,2.4,0.433518969,763.54,2.4,0.05271,4.9,8.97,0.901,0.919,316,111,112,9.62,0.521,0.550,8.44,0.199,0.251,97.3,12.3,0.9,9.65,0.199,8.39,1206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_67,8,0.3,97,8,0.3,97,9,0.3,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3840,2907002,0.00,0.83,-2.06,,,,,,,,,,,,,,,,,,,,
MT24-1_L_3,sweeps 23-41,468,171,0.729,0.366,1235,39.3,2.55,0.00050,25.40632886,0.00847,16.2,0.00131,5.2,0.320856961,762.26,5.2,0.04682,15.4,10.1,2.56,2.57,39.9,368,368,8.56,1.38,1.39,8.45,0.440,0.466,78.8,1.3,195.3,8.56,0.447,8.35,1120,357,3.26,1553,496894,1.99,0.003,8.21,0.024,1.04,3.47,0.168,24.5,10.4,139,57.0,273,60.9,569,102,11948,1.14,171,468,692,224.19,0.06,1248.54,0.04,0.01,1.75,0.00,0.01,0.37,0.11,7.69,0.003504339,0.823319477,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_3,8,0.5,79,8,0.5,79,8,0.5,79,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1235,944949,0.00,0.86,0.35,,,,,,,,,,,,,,,,,,,,
MT24-1_M_71,sweeps 23-41,857,456,1.41,0.532,2690,437,10.2,0.00048,10.65488897,0.01014,12.8,0.00131,4.3,0.333451404,761.66,4.3,0.05602,12.1,9.67,1.03,1.05,453,268,268,10.2,1.31,1.32,8.46,0.361,0.393,98.1,17.4,1.1,10.3,0.364,8.35,1321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_71,8,0.4,98,8,0.4,98,9,0.4,98,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2690,2044642,0.00,0.84,-1.00,,,,,,,,,,,,,,,,,,,,
MT24-1_M_60,sweeps 23-41,1081,589,1.77,0.545,3305,121,7.60,0.00046,7.599715024,0.00830,7.6,0.00132,2.0,0.259759731,757.04,2.0,0.04557,7.3,9.35,0.711,0.735,-25,178,178,8.39,0.634,0.653,8.51,0.168,0.228,134.2,-1.4,243.9,8.39,0.172,8.43,1149,408,3.12,3085,490440,3.37,1.06,24.6,0.487,5.00,10.4,0.425,60.0,23.6,303,119,540,118,1053,171,11316,1.80,589,1081,688,8.38,0.05,2428.42,0.05,0.02,1.87,0.00,0.01,0.55,0.19,3.67,0.00319833,1.026442468,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_M_60,9,0.2,134,8,0.2,134,9,0.2,135,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3305,2545246,0.00,0.83,-1.62,,,,,,,,,,,,,,,,,,,,
MT24-1_L_14,sweeps 30-41,621,190,0.932,0.307,1758,1134,34.9,0.00036,22.64617259,0.00961,10.4,0.00132,4.9,0.472682275,756.34,4.9,0.05271,9.2,7.21,1.63,1.64,317,209,209,9.71,1.01,1.02,8.52,0.419,0.436,97.3,12.3,1.8,9.74,0.419,8.58,531,344,2.78,1494,471888,5.11,0.109,11.4,0.123,1.24,2.80,0.097,21.1,9.26,130,54.4,263,61.6,602,108,11741,2.57,190,621,678,24.07,0.04,1265.38,0.03,0.01,1.99,0.01,0.03,0.31,0.13,7.86,0.008480719,1.031179808,Zircon_26Mar21_Gerasimov_1_align20_EBHedit.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MT24-1_L_14,9,0.4,97,8,0.4,97,9,0.4,97,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1758,1262774,0.00,0.39,-0.32,,,,,,,,,,,,,,,,,,,,
